title,authors,year,venue,arxiv_id,doi,url,local_path,broad_category,trading_task,asset_class,rl_algorithm,data_frequency,input_features,action_space,reward_type,contribution,notes
Deep Portfolio Management: A Deep Reinforcement Learning Framework for the Financial Portfolio Management Problem,Zhengyao Jiang; Dixing Xu; Jinjun Liang,2017,arXiv,1706.10059,unknown,https://arxiv.org/abs/1706.10059,04_portfolio_management/1706.10059_drl_framework_financial_portfolio_management.pdf,portfolio_management,crypto portfolio allocation,cryptocurrency,DDPG; EIIE; PVM; OSBL,intraday/minute-level crypto bars,price tensor; portfolio vector memory,continuous portfolio weights,log portfolio return with transaction cost,EIIE architecture for online crypto portfolio management.,target_download
Deep Hedging,Hans Buehler; Lukas Gonon; Josef Teichmann; Ben Wood,2019,Quantitative Finance / arXiv,1802.03042,10.1080/14697688.2019.1571683,https://arxiv.org/abs/1802.03042,05_execution_costs_and_hedging/1802.03042_deep_hedging_transaction_costs.pdf,risk_aware_hedging,derivative hedging,derivatives,deep RL; policy optimization,simulated hedging steps,portfolio state; market frictions; risk limits,continuous hedge adjustments,convex risk measure / hedging objective,General deep hedging framework with transaction costs.,target_download
Financial Trading as a Game: A Deep Reinforcement Learning Approach,Chien-Yi Huang,2018,arXiv,1807.02787,unknown,https://arxiv.org/abs/1807.02787,03_trading_strategies/1807.02787_financial_trading_as_game_drqn.pdf,drl_trading_applications,single-asset FX trading,FX,DRQN; DQN,daily or intraday unknown,price/technical state history,discrete buy/sell/hold,profit-based reward,Frames financial trading as an MDP/game with DRQN.,target_download
Adversarial Deep Reinforcement Learning in Portfolio Management,Zhipeng Liang; Hao Chen; Junhao Zhu; Kangkang Jiang; Yanran Li,2018,arXiv,1808.09940,unknown,https://arxiv.org/abs/1808.09940,04_portfolio_management/1808.09940_adversarial_drl_portfolio_management.pdf,portfolio_management,portfolio management,cryptocurrency / multi-asset,DDPG; PPO; PG; adversarial training,intraday/minute-level crypto bars,price tensor; adversarial perturbations,continuous portfolio weights,portfolio return with transaction cost,"Compares DDPG, PPO, and PG under adversarial training.",target_download
Practical Deep Reinforcement Learning Approach for Stock Trading,Xiao-Yang Liu; Zhuoran Xiong; Shan Zhong; Hongyang Yang; Anwar Walid,2018,arXiv,1811.07522,unknown,https://arxiv.org/abs/1811.07522,03_trading_strategies/1811.07522_practical_drl_stock_trading.pdf,drl_trading_applications,multi-stock trading,stocks,DDPG / deep RL,daily,prices; holdings; technical indicators,continuous/discrete portfolio actions,portfolio value / return,Practical stock trading environment and backtesting setup.,target_download
Deep Reinforcement Learning for Trading,Zihao Zhang; Stefan Zohren; Stephen Roberts,2019,arXiv,1911.10107,unknown,https://arxiv.org/abs/1911.10107,03_trading_strategies/1911.10107_volatility_scaled_futures_drl.pdf,drl_trading_applications,futures trading,futures multi-asset,DQN; DPG; PPO-like DRL,daily continuous futures,returns; volatility scaling features,discrete and continuous positions,volatility-scaled reward / returns,Compares discrete/continuous DRL with volatility scaling on liquid futures.,existing_local
Using Reinforcement Learning in the Algorithmic Trading Problem,E. S. Ponomarev; I. V. Oseledets; A. S. Cichocki,2020,Journal of Communications Technology and Electronics / arXiv,2002.11523,unknown,https://arxiv.org/abs/2002.11523,03_trading_strategies/2002.11523_rl_algorithmic_trading_a3c.pdf,drl_trading_applications,algorithmic trading,futures,A3C; recurrent actor-critic,unknown,market history sequence,trading actions,profit / return,Applies recurrent actor-critic to algorithmic trading.,target_download
An Application of Deep Reinforcement Learning to Algorithmic Trading,Thibaut Theate; Damien Ernst,2020,arXiv,2004.06627,unknown,https://arxiv.org/abs/2004.06627,03_trading_strategies/2004.06627_drl_algorithmic_trading_dqn.pdf,drl_trading_applications,single-stock algorithmic trading,stocks,Trading DQN,daily,OHLCV; technical indicators,discrete position/action,Sharpe-oriented / trading return,DQN-style trading framework with evaluation baselines.,target_download
An End-to-End Optimal Trade Execution Framework based on Proximal Policy Optimization,Siyu Lin; Peter A. Beling,2020,IJCAI 2020,unknown,10.24963/ijcai.2020/627,https://www.ijcai.org/proceedings/2020/627,05_execution_costs_and_hedging/2020_ppo_optimal_trade_execution.pdf,trade_execution_microstructure,optimal trade execution,stocks,PPO; LSTM; FCN,tick/LOB event-level,level-2 LOB prices and volumes,execution slices / trading rate,sparse terminal relative execution performance,End-to-end PPO trade execution using LOB data.,target_download
Reinforcement-Learning Based Portfolio Management with Augmented Asset Movement Prediction States,Yunan Ye; Hengzhi Pei; Boxin Wang; Pin-Yu Chen; Yada Zhu; Ju Xiao; Bo Li,2020,AAAI 2020,unknown,10.1609/aaai.v34i01.5462,https://ojs.aaai.org/index.php/AAAI/article/view/5462,04_portfolio_management/2020_sarl_augmented_portfolio_management.pdf,portfolio_management,portfolio management,crypto and stocks,SARL; reinforcement learning,daily / mixed,asset prices; predicted asset movement; news optional,portfolio weights,portfolio return / risk-adjusted performance,Augments portfolio state with predicted asset movement and alternative data.,target_download
DeepTrader: A Deep Reinforcement Learning Approach for Risk-Return Balanced Portfolio Management with Market Conditions Embedding,Zhicheng Wang; Biwei Huang; Shikui Tu; Kun Zhang; Lei Xu,2021,AAAI 2021,unknown,10.1609/aaai.v35i1.16144,https://ojs.aaai.org/index.php/AAAI/article/view/16144,04_portfolio_management/2021_deeptrader_risk_return_portfolio_management.pdf,portfolio_management,portfolio management,stocks,deep RL; market condition embedding,daily,asset features; market condition embedding; graph structure,portfolio allocation,negative max drawdown and price rising rewards,Balances risk-return via market condition embedding.,target_download
Commission Fee is not Enough: A Hierarchical Reinforced Framework for Portfolio Management,Rundong Wang; Hongxin Wei; Bo An; Zhouyan Feng; Jun Yao,2021,AAAI 2021,unknown,10.1609/aaai.v35i1.16142,https://ojs.aaai.org/index.php/AAAI/article/view/16142,05_execution_costs_and_hedging/2021_hrpm_hierarchical_portfolio_management.pdf,portfolio_management,portfolio management with execution,stocks,hierarchical RL,mixed low/high frequency,portfolio state; execution state; market data,high-level weights; low-level execution actions,long-term profit and execution cost,Adds execution/slippage to portfolio management via hierarchy.,target_download
A Reinforcement Learning Based Encoder-Decoder Framework for Learning Stock Trading Rules,Mehran Taghian; Ahmad Asadi; Reza Safabakhsh,2021,arXiv,2101.03867,unknown,https://arxiv.org/abs/2101.03867,03_trading_strategies/2101.03867_encoder_decoder_stock_trading_rules.pdf,drl_trading_applications,stock trading rules,stocks,encoder-decoder RL,high-frequency / unknown,historical trading features,trading rules/actions,profit-based reward,Learns stock trading rules with encoder-decoder RL.,target_download
Universal Trading for Order Execution with Oracle Policy Distillation,Yuchen Fang; Kan Ren; Weiqing Liu; Dong Zhou; Weinan Zhang; Jiang Bian; Yong Yu; Tie-Yan Liu,2021,arXiv,2103.10860,unknown,https://arxiv.org/abs/2103.10860,05_execution_costs_and_hedging/2103.10860_universal_trading_order_execution.pdf,trade_execution_microstructure,order execution,stocks,oracle policy distillation; RL,intraday execution horizon,order book / execution state,execution schedule/actions,execution cost / slippage,Distills oracle policies for universal order execution.,target_download
Deep Hedging of Derivatives Using Reinforcement Learning,Jay Cao; Jacky Chen; John Hull; Zissis Poulos,2021,Journal of Financial Data Science / arXiv,2103.16409,10.3905/jfds.2020.1.052,https://arxiv.org/abs/2103.16409,05_execution_costs_and_hedging/2103.16409_deep_hedging_derivatives_rl.pdf,risk_aware_hedging,derivative hedging,derivatives,Q-learning / continuous-state RL,simulated hedging steps,underlying price; hedge position; derivative state,continuous hedge adjustments,mean and variance of hedging cost,RL hedging under transaction costs and stochastic volatility.,target_download
Bitcoin Transaction Strategy Construction Based on Deep Reinforcement Learning,Fengrui Liu; Yang Li; Baitong Li; Jiaxin Li; Huiyang Xie,2021,Applied Soft Computing / arXiv,2109.14789,10.1016/j.asoc.2021.107952,https://arxiv.org/abs/2109.14789,03_trading_strategies/2109.14789_bitcoin_transaction_strategy_drl.pdf,drl_trading_applications,bitcoin transaction strategy,cryptocurrency,PPO; LSTM,high-frequency bitcoin,price sequence; temporal features,trading position/action,profit rate / return,PPO-based high-frequency bitcoin trading with LSTM.,target_download
DeepScalper: A Risk-Aware Reinforcement Learning Framework to Capture Fleeting Intraday Trading Opportunities,Shuo Sun; Wanqi Xue; Rundong Wang; Xu He; Junlei Zhu; Jian Li; Bo An,2022,arXiv,2201.09058,unknown,https://arxiv.org/abs/2201.09058,03_trading_strategies/2201.09058_deepscalper_intraday_trading.pdf,drl_trading_applications,intraday trading / scalping,stocks,risk-aware RL,tick / LOB intraday,LOB; short-term market state; risk state,discrete intraday trading actions,risk-aware reward,Risk-aware intraday scalping framework.,existing_local
Deep Reinforcement Learning with Positional Context for Intraday Trading,Sven Goluza; Tomislav Kovacevic; Tessa Bauman; Zvonko Kostanjcar,2024,arXiv,2406.08013,unknown,https://arxiv.org/abs/2406.08013,03_trading_strategies/2406.08013_positional_context_intraday_trading.pdf,drl_trading_applications,intraday trading,stocks / unknown,DRL,intraday,price features; positional context,trading position/action,profit / risk-adjusted return,Shows positional context matters for intraday DRL.,existing_local
"A Deep Reinforcement Learning Approach to Automated Stock Trading, using xLSTM Networks",Faezeh Sarlakifar; Mohammadreza Mohammadzadeh Asl; Sajjad Rezvani Khaledi; Armin Salimi-badr,2025,arXiv,2503.09655,unknown,https://arxiv.org/abs/2503.09655,03_trading_strategies/2503.09655_drl_xlstm_automated_stock_trading.pdf,drl_trading_applications,stock trading,stocks,DRL; xLSTM,unknown,price sequence features,trading actions,profit / return,Uses xLSTM sequence modeling inside DRL trading.,existing_local
Adaptive and Regime-Aware RL for Portfolio Optimization,Gabriel Nixon Raj,2025,arXiv,2509.14385,unknown,https://arxiv.org/abs/2509.14385,04_portfolio_management/2509.14385_adaptive_regime_aware_rl_portfolio.pdf,portfolio_management,portfolio optimization,multi-asset,PPO; LSTM-PPO; Transformer-PPO,daily / regime-level,returns; hidden regime probabilities,portfolio weights,constrained reward with volatility and tail-risk penalties,Regime-aware portfolio RL with stress/risk features.,existing_local
FineFT: Efficient and Risk-Aware Ensemble Reinforcement Learning for Futures Trading,Molei Qin; Xinyu Cai; Yewen Li; Haochong Xia; Chuqiao Zong; Shuo Sun; Xinrun Wang; Bo An,2025,arXiv,2512.23773,unknown,https://arxiv.org/abs/2512.23773,03_trading_strategies/2512.23773_fineft_risk_aware_ensemble_rl_futures_trading.pdf,drl_trading_applications,futures trading,futures,ensemble RL,unknown,futures market state; risk features,trading positions,risk-aware reward,Risk-aware ensemble RL for futures trading.,existing_local
Adaptive Quantitative Trading: An Imitative Deep Reinforcement Learning Approach,Yang Liu; Qi Liu; Hongke Zhao; Zhen Pan; Chuanren Liu,2020,AAAI 2020,unknown,unknown,unknown,03_trading_strategies/5587_13_8812_adaptive_quantitative_trading_idrl.pdf,drl_trading_applications,quantitative trading,stocks,imitative DRL,unknown,market condition features,trading actions,profit / imitation-informed reward,Imitative DRL for adaptive quantitative trading.,existing_local
Adaptive stock trading strategies with deep reinforcement learning methods,Xing Wu; Haolei Chen; Jianjia Wang; Luigi Troiano; Vincenzo Loia; Hamido Fujita,2020,Information Sciences,unknown,10.1016/j.ins.2020.05.066,https://doi.org/10.1016/j.ins.2020.05.066,03_trading_strategies/s0020025520304692_adaptive_stock_trading_drl.pdf,drl_trading_applications,stock trading,stocks,deep RL,daily / unknown,technical indicators / market state,buy/sell/hold,profit / return,Adaptive DRL stock trading strategies.,existing_local
AlphaPortfolio: Direct Construction Through Reinforcement Learning and Interpretable AI,Lin William Cong; Ke Tang; Jingyuan Wang; Yang Zhang,2020,SSRN / EFMA,unknown,unknown,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3554486,04_portfolio_management/ssrn_3554486_alphaportfolio_caan_efma2021.pdf,portfolio_management,portfolio construction,stocks / multi-asset,RL; cross-asset attention network,monthly / unknown,economic and financial sequences; cross-asset attention,portfolio weights,risk-adjusted alpha / portfolio objective,Directly optimizes portfolio construction with interpretable attention.,existing_local
MaxAI: A Reinforcement Learning and Genetic Algorithm Framework for Intraday Index Futures Trading,Michael Maximilian Huber,2025,SSRN,unknown,unknown,unknown,03_trading_strategies/ssrn_5761402_maxai_intraday_index_futures_trading.pdf,drl_trading_applications,intraday index futures trading,index futures,Q-learning; genetic algorithm,one-minute,OHLCV / price-volume observations,entry/exit trading actions,profit with stability objectives,Combines RL Q-agent and GA optimization for intraday futures.,existing_local
FinRL: A Deep Reinforcement Learning Library for Automated Stock Trading in Quantitative Finance,Xiao-Yang Liu; Hongyang Yang; Qian Chen; Runjia Zhang; Liuqing Yang; Bowen Xiao; Christina Dan Wang,2020,arXiv,2011.09607,unknown,https://arxiv.org/abs/2011.09607,06_frameworks_and_surveys/2011.09607_finrl.pdf,surveys_frameworks,framework / automated stock trading,stocks,A2C; DDPG; PPO; SAC; TD3,daily and intraday possible,OHLCV; technical indicators; account state,portfolio/trading actions,portfolio value / Sharpe / return,Open-source DRL trading library.,existing_local
FinRL-Meta: A Universe of Near-Real Market Environments for Data-Driven Deep Reinforcement Learning in Quantitative Finance,Xiao-Yang Liu; Jingyang Rui; Jiechao Gao; Liuqing Yang; Hongyang Yang; Zhaoran Wang; Christina Dan Wang; Jian Guo,2022,arXiv,2112.06753,unknown,https://arxiv.org/abs/2112.06753,06_frameworks_and_surveys/2112.06753_finrl_meta.pdf,surveys_frameworks,market environment framework,multi-asset,environment framework for DRL,multi-frequency,market data; simulator states,environment-dependent,environment-dependent,Framework for near-real market environments and benchmarks.,existing_local
Deep direct reinforcement learning for financial signal representation and trading,Yue Deng; Feng Bao; Youyong Kong; Zhiquan Ren; Qionghai Dai,2017,IEEE Transactions on Neural Networks and Learning Systems,unknown,10.1109/TNNLS.2016.2522401,https://doi.org/10.1109/TNNLS.2016.2522401,03_trading_strategies/2017_deep_direct_rl_financial_signal_trading.pdf,trading_strategies,financial signal representation and trading,stocks / futures unknown,deep direct RL; recurrent neural network,unknown,learned financial signal representation,trading actions,direct trading reward,Recurrent deep direct RL for real-time signal representation and trading.,manual_download_resolved
Deep robust reinforcement learning for practical algorithmic trading,Yang Li; Wanshan Zheng; Zibin Zheng,2019,IEEE Access,unknown,10.1109/ACCESS.2019.2932789,https://ieeexplore.ieee.org/document/8786132/,03_trading_strategies/2019_deep_robust_rl_practical_algorithmic_trading.pdf,trading_strategies,practical algorithmic trading,stocks and futures,DQN; A3C; SDAE; LSTM,unknown,robust market representation; sequence features,position-controlled trading actions,n-step reward / risk-adjusted return,Robust DQN/A3C trading agent with representation learning and practical action design.,manual_download_resolved
Time-driven feature-aware jointly deep reinforcement learning for financial signal representation and algorithmic trading,Kai Lei; Bing Zhang; Yu Li; Min Yang; Ying Shen,2020,Expert Systems with Applications,unknown,10.1016/j.eswa.2019.112872,https://doi.org/10.1016/j.eswa.2019.112872,03_trading_strategies/2020_time_driven_feature_aware_drl_trading.pdf,trading_strategies,algorithmic trading,stocks / unknown,joint deep RL; feature-aware DRL,time-driven sequence,financial signals; temporal feature representation,trading actions,trading return,Jointly learns signal representation and trading decisions with time-driven feature-aware DRL.,manual_download_resolved
Sentiment and knowledge based algorithmic trading with deep reinforcement learning,Abhishek Nan; Anandh Perumal; Osmar R. Zaiane,2022,DEXA 2022 / LNCS,unknown,10.1007/978-3-031-12423-5_13,https://doi.org/10.1007/978-3-031-12423-5_13,03_trading_strategies/2022_sentiment_knowledge_drl_algorithmic_trading.pdf,trading_strategies,algorithmic stock trading,stocks,deep reinforcement learning,mixed price/news frequency,stock price data; news sentiment; knowledge features,trading actions,trading return,Combines traditional price features with news sentiment and knowledge features for DRL trading.,manual_download_resolved
A novel deep reinforcement learning framework with BiLSTM-Attention networks for algorithmic trading,Yuling Huang; Xiaoxiao Wan; Lin Zhang; Xiaoping Lu,2024,Expert Systems with Applications,unknown,10.1016/j.eswa.2023.122581,https://doi.org/10.1016/j.eswa.2023.122581,03_trading_strategies/2024_bilstm_attention_drl_algorithmic_trading.pdf,trading_strategies,single-asset algorithmic trading,stock indices,deep SARSA; BiLSTM-Attention,daily,stock market data; BiLSTM-Attention sequence representation,trading actions,trading return,Efficient deep SARSA with BiLSTM-Attention feature extraction for algorithmic trading.,manual_download_resolved
